stock_id,last_close,book_value,highest_52w,lowest_52w,pe,eps,roa,roe,beta,avg_vol_13w,on_bal_vol_ratio,volume,cap_market
CTC,3.9,10.5,5.5,3.1,43.3,90,0%,1%,0.42,1019,0.02%,8799926,34
CTD,158,94.9,239,147,7.4,21468,10%,23%,0.28,235507,0.94%,78288344,12380
CTF,21.8,12.7,37.8,13.9,18.2,1197,3%,9%,0.28,17805,0.22%,18000000,392
CTG,35.7,17.0,37.7,16.4,17.9,1996,1%,12%,1.76,6921185,10.27%,3723404556,132926
CTI,35.9,22.4,39,26.8,15.1,2380,4%,11%,0.40,528310,2.43%,62999997,2262
DNR,9.3,0,9.3,9.3,0,0,2%,10%,0,0,0%,1577500,15
DNS,12,11.4,12,7.6,10,1204,4%,11%,0,1633,0.02%,21600000,259
DNW,12,12.9,18.4,12,37.3,322,1%,3%,0,415,0%,100000000,1200
DNY,6.6,14.4,10.1,6.2,2.5,2610,3%,18%,0.20,8518,0.08%,26999517,178
DOC,11,0,11,9.1,0,0,4%,5%,0,513,0.01%,10000000,110
DOP,13.6,0,13.6,13.6,0,0,12%,13%,0,0,0%,4370510,59
DP2,11.3,10.1,37.4,9.5,213.2,53,0%,0%,0,834,0.01%,20000000,226
DP3,66,21.4,75.7,29.1,11.7,5634,18%,26%,0.78,5378,0.17%,6800000,449
DPC,15.7,18.1,20.2,12,8.7,1801,9%,10%,0.47,904,0.08%,2237280,35
DPG,57,0,69.3,19.4,0,0,6%,24%,0,91058,0.74%,29999962,1710
DPH,23.8,0,28.6,12.4,0,0,7%,12%,0,52,0%,3000000,71
DFC,38,24.0,50.5,9,24.3,1565,7%,28%,0,178,0.01%,6000000,228
FLC,5.8,13.5,8.2,5.3,9,641,2%,5%,0.57,12518847,21.58%,682697361,3939
FMC,30.6,14.7,32.5,13.5,10.6,2881,7%,20%,0.28,399947,2.62%,39000000,1193
FOX,90,21.9,85,66.2,15.6,5785,12%,30%,0,7773,0.02%,150783259,13570
FPT,63.6,24.9,64.4,38.1,11.5,5513,14%,27%,0.79,2342609,4.23%,530935850,33769
FRM,10.2,0,10.2,10.2,0,0,0%,0%,0,0,0%,11700000,119
FSC,11.2,11.9,14,8,20.6,544,4%,5%,0,0,0%,30000000,336
FSO,11.8,11.4,11.8,11.8,13.8,854,5%,7%,0,0,0%,5624966,66
FT1,54,0,71,21.7,0,0,15%,35%,0,69,0%,7079853,382
FTI,10.5,8.7,10.9,5.7,6.4,1646,13%,19%,0,386,0.02%,3943710,41
DT4,9.3,11.0,9.3,8.7,0,0,2%,7%,0,0,0%,1160000,11
DTA,8,10.4,11.4,2.2,32.7,245,1%,2%,0.93,12710,0.19%,15000000,120
DTC,13.8,15.2,18.2,8.9,5.4,2541,9%,42%,0.37,1265,0.03%,10000000,138
DTD,13.9,0,16.3,11.8,0,0,0%,0%,0.60,74734,0.85%,20000000,278
DTG,17.1,0,28.7,13.5,0,0,4%,13%,0,162,0.01%,3398250,58
DTI,13.9,0,14.5,12.2,0,0,0%,0%,0,1298,0.03%,11100000,154
FUCTVGF1,13.5,0,14.0,8.8,18.3,739,0%,0%,0.50,107,0%,15000000,202
FUCVREIT,10.5,0,25.8,8.3,0,0,0%,0%,1.64,3349,0.14%,5000000,52
FUESSV50,15.5,0,15.9,10.7,0,0,0%,0%,0.69,91228,1.99%,9800000,152
G20,1.5,3.9,3.4,1.3,0.9,1636,13%,41%,0.44,5832,0.09%,28800000,22
G36,6,10.8,13.5,5.3,9.6,627,1%,6%,0,16300,0.06%,93600000,562
GAS,130.5,22.6,136.1,51.3,26.1,5004,16%,23%,1.11,822421,1.26%,1913950000,249770
GCB,7.8,0,7.8,4.3,0,0,6%,12%,0,99,0.01%,4039147,32
D2D,78.5,39.8,81.8,34.7,11.2,7032,6%,18%,0.62,27415,0.55%,10654984,840
DAC,13,0,30.7,6.6,0,0,14%,34%,0.07,10,0%,1004974,13
DAD,17.5,15.7,20.0,14.5,9.2,1892,10%,12%,0.20,602,0.02%,4988000,88
DAE,17.6,20.0,17.6,14.4,5.6,3122,13%,16%,0.17,619,0.08%,1498680,26
DAG,8.2,13.3,13.3,7.5,6,1353,5%,11%,1,279632,1.67%,43978691,358
DAH,5,10.9,6.4,4,6.5,765,4%,7%,0.03,268077,1.95%,34200000,171
DAP,17,0,43.7,17,0,0,9%,19%,0,79,0.01%,1680000,29
HHV,11,16.8,11.1,9.5,14.8,744,1%,7%,0,25,0%,7937500,87
HID,3.0,11.8,5.6,2.6,3.3,903,6%,8%,0.24,188243,1.46%,32554820,94
HIG,6.8,15.1,6.9,4.1,86.1,79,0%,1%,0,12843,0.13%,21918232,153
IJC,9.6,12.1,13,7.6,7,1367,2%,11%,0.82,520666,1.50%,137097323,1320
IKH,10.6,0,12,10.6,0,0,0%,0%,0,1271,0.16%,1571000,17
ILA,10.7,0,18.1,9,0,0,0%,0%,0,13700,0.29%,10000000,107
ILS,16.9,0,19.7,11.4,0,0,0%,0%,0,70347,0.10%,0,0
IME,6.1,16.1,17.7,6.1,0,0,6%,23%,0,347,0.02%,3599948,22
CTN,0.8,5.1,0.9,0.5,0.8,1063,2%,27%,1,11,0%,4870845,6
CTP,8.8,13.9,29.2,8.1,4.7,1881,11%,14%,0.72,31117,0.67%,11000000,88
CTR,23.9,0,28,21.6,10.5,2269,6%,16%,0,18556,0.11%,47123341,1126
CTS,14.7,11.6,15.5,7.2,13.3,1102,6%,9%,0.91,590833,2.06%,97652936,1435
CTT,7.1,13.2,14.6,5.5,4.9,1443,1%,11%,1.31,260,0.01%,4697351,33
CTW,6,13.7,6.3,5.5,5.4,1121,5%,11%,0,32,0%,28000000,168
CTX,26.8,30.8,30.5,16.6,2.7,10013,10%,32%,0.21,5503,0.05%,26353800,706
DTT,10.4,14.7,13.3,8.4,19.9,523,3%,4%,0.44,601,0.02%,8151820,85
DTV,16.5,0,22.1,6,0,0,12%,16%,0,41,0%,5280000,87
DVC,10,18.6,11,5.6,36.5,274,8%,13%,0,677,0.02%,6046637,60
DGC,31.2,15.4,35.1,28.7,6.1,5154,15%,17%,0.24,55317,0.30%,50008875,1560
DGL,31,43.1,36.4,29.2,6.3,4924,7%,11%,1.18,11206,0.06%,46399888,1438
DGT,10,0,21.8,5.7,0,0,0%,1%,0,2271,0.19%,2481000,25
DGW,27.5,17.3,27.4,13.6,14.2,1943,5%,11%,0.36,395012,2.50%,40751747,1121
DHA,28.5,23.8,36.7,27.2,7.3,3898,15%,16%,0.40,49831,0.73%,15061213,431
