title,time,intro,link
Ông Võ Quốc Thắng quyết định rời ghế Chủ tịch HĐQT Kienlongbank,2018/04/18,,http://vietnamfinance.vn/ong-vo-quoc-thang-quyet-dinh-roi-ghe-chu-tich-hdqt-kienlongbank-20180418121100168.htm
"VietinBank đặt kế hoạch lãi trước thuế 10.800 tỷ năm 2018, ngang VPBank",2018/04/18,,http://vietnamfinance.vn/vietinbank-dat-ke-hoach-lai-truoc-thue-10800-ty-nam-2018-ngang-vpbank-20180418104630347.htm
Hà Văn Thắm và các đồng phạm hầu tòa phúc thẩm vụ thất thoát ngàn tỷ tại OceanBank,2018/04/18,,http://vietnamfinance.vn/ha-van-tham-va-cac-dong-pham-hau-toa-phuc-tham-vu-that-thoat-ngan-ty-tai-oceanbank-20180418094447451.htm
"SHB đặt mục tiêu lãi 2.050 tỷ năm 2018, kỳ vọng SHB FC tăng 4 lần giá trị sau 5 năm",2018/04/18,,http://vietnamfinance.vn/shb-dat-muc-tieu-lai-2050-ty-nam-2018-ky-vong-shb-fc-tang-4-lan-gia-tri-sau-5-nam-20180418085357694.htm
Cựu lãnh đạo NHNN và Vietcombank ứng cử thành viên HĐQT ABBank,2018/04/17,,http://vietnamfinance.vn/cuu-lanh-dao-nhnn-va-vietcombank-ung-cu-thanh-vien-hdqt-abbank-20180417222319629.htm
LienVietPostBank trao 165 suất học bổng cho sinh viên năm học 2016 - 2017,2018/04/17,,http://vietnamfinance.vn/lienvietpostbank-trao-165-suat-hoc-bong-cho-sinh-vien-nam-hoc-2016-2017-20180417144847634.htm
"Đấu giá cổ phần OCB: Vietcombank thu về 172 tỷ, gấp đôi dự kiến",2018/04/17,,http://vietnamfinance.vn/dau-gia-co-phan-ocb-vietcombank-thu-ve-172-ty-gap-doi-du-kien-20180417143606521.htm
Ngân hàng thương mại tuần thứ 3 liên tiếp đón dòng tiền từ NHNN,2018/04/17,,http://vietnamfinance.vn/ngan-hang-thuong-mai-tuan-thu-3-lien-tiep-don-dong-tien-tu-nhnn-20180417141357464.htm
Nguyên Cố vấn cao cấp TrustBank Hứa Thị Phấn sắp hầu tòa,2018/04/17,,http://vietnamfinance.vn/nguyen-co-van-cao-cap-trustbank-hua-thi-phan-sap-hau-toa-20180417095158505.htm
Petrolimex kỳ vọng lớn vào hợp tác với tổ hợp Vietjet – HDBank sau thương vụ sáp nhập PGBank,2018/04/27,,http://vietnamfinance.vn/petrolimex-ky-vong-lon-vao-hop-tac-voi-to-hop-vietjet-hdbank-sau-thuong-vu-sap-nhap-pgbank-20180427121422357.htm
"FPT: Tỷ suất lợi nhuận tăng gấp 2,5 lần, quý I/2018 lãi ròng 509 tỷ đồng",2018/04/26,,http://vietnamfinance.vn/fpt-ty-suat-loi-nhuan-tang-gap-25-lan-quy-i2018-lai-rong-509-ty-dong-20180426170216484.htm
"REE: Giá vốn giảm, lợi nhuận từ công ty liên kết tăng, quý I lãi ròng 381 tỷ đồng",2018/04/26,,http://vietnamfinance.vn/ree-gia-von-giam-loi-nhuan-tu-cong-ty-lien-ket-tang-quy-i-lai-rong-381-ty-dong-20180426152511416.htm
"Quý I/2018, ‘mẹ con’ Hoàng Huy báo lãi trước thuế tăng gấp 3 lần",2018/04/26,,http://vietnamfinance.vn/quy-i2018-me-con-hoang-huy-bao-lai-truoc-thue-tang-gap-3-lan-20180426111809718.htm
"Cổ phiếu FPT Retail tăng kịch trần 20% trong ngày chào sàn, vốn hóa vọt lên 6.000 tỷ",2018/04/26,,http://vietnamfinance.vn/co-phieu-fpt-retail-tang-kich-tran-20-trong-ngay-chao-san-von-hoa-vot-len-6000-ty-20180426105839513.htm
